x,y,pop
462877.3734327983,4454698.41919939,5.300726413726807
462798.9628851167,4454620.008651709,5.371600151062012
460917.10974075843,4454541.598104027,7.421613693237305
460995.52028844,4454541.598104027,7.498126983642578
461073.9308361216,4454541.598104027,7.533447265625
461152.3413838032,4454541.598104027,7.532668590545654
461230.7519314848,4454541.598104027,7.500267028808594
462798.9628851167,4454541.598104027,5.371600151062012
460917.10974075843,4454463.187556346,7.421613693237305
460995.52028844,4454463.187556346,7.498126983642578
461073.9308361216,4454463.187556346,7.533447265625
461152.3413838032,4454463.187556346,7.532668590545654
461230.7519314848,4454463.187556346,7.500267028808594
462720.5523374351,4454463.187556346,5.316556453704834
460760.28864539525,4454384.777008664,7.538541793823242
460838.6991930768,4454384.777008664,7.732785701751709
460917.10974075843,4454384.777008664,7.777066230773926
460995.52028844,4454384.777008664,7.604220867156982
461073.9308361216,4454384.777008664,7.439350605010986
461152.3413838032,4454384.777008664,7.373598575592041
461230.7519314848,4454384.777008664,7.3848676681518555
461309.1624791664,4454384.777008664,7.390633583068848
462563.7312420719,4454384.777008664,6.290946006774902
462642.1417897535,4454384.777008664,5.808832168579102
462720.5523374351,4454384.777008664,5.245094299316406
460525.05700235046,4454306.366460983,6.46742057800293
460603.467550032,4454306.366460983,6.919744491577148
460681.87809771363,4454306.366460983,7.549219608306885
460760.28864539525,4454306.366460983,7.621934413909912
460838.6991930768,4454306.366460983,7.712079048156738
460917.10974075843,4454306.366460983,7.719470024108887
460995.52028844,4454306.366460983,7.5807204246521
461073.9308361216,4454306.366460983,7.464301109313965
461152.3413838032,4454306.366460983,7.409537315368652
461230.7519314848,4454306.366460983,7.40260648727417
461309.1624791664,4454306.366460983,7.393226146697998
462485.32069439034,4454306.366460983,6.320936679840088
462563.7312420719,4454306.366460983,5.965968608856201
462642.1417897535,4454306.366460983,5.224537372589111
462720.5523374351,4454306.366460983,5.246001243591309
462798.9628851167,4454306.366460983,5.173479080200195
462877.3734327983,4454306.366460983,4.792481422424316
460446.64645466884,4454227.955913301,6.424653053283691
460525.05700235046,4454227.955913301,6.673661231994629
460603.467550032,4454227.955913301,7.156416416168213
460681.87809771363,4454227.955913301,7.469246864318848
460760.28864539525,4454227.955913301,7.522254943847656
460838.6991930768,4454227.955913301,7.616141319274902
460917.10974075843,4454227.955913301,7.642670631408691
460995.52028844,4454227.955913301,7.5330681800842285
461073.9308361216,4454227.955913301,7.534615516662598
461152.3413838032,4454227.955913301,7.52032470703125
461230.7519314848,4454227.955913301,7.487851142883301
461309.1624791664,4454227.955913301,7.4505510330200195
461387.57302684797,4454227.955913301,7.426205635070801
462093.26795598236,4454227.955913301,7.368149280548096
462171.6785036639,4454227.955913301,6.744440078735352
462250.08905134554,4454227.955913301,6.6959123611450195
462328.4995990271,4454227.955913301,6.494972229003906
462406.9101467087,4454227.955913301,6.165680885314941
462485.32069439034,4454227.955913301,5.7219085693359375
462563.7312420719,4454227.955913301,5.194281101226807
462642.1417897535,4454227.955913301,5.243412971496582
462720.5523374351,4454227.955913301,5.229773998260498
462798.9628851167,4454227.955913301,5.183838844299316
462877.3734327983,4454227.955913301,4.846867084503174
462955.7839804799,4454227.955913301,4.401275157928467
460368.2359069873,4454149.5453656195,5.95680570602417
460446.64645466884,4454149.5453656195,6.408497333526611
460525.05700235046,4454149.5453656195,6.539638042449951
460603.467550032,4454149.5453656195,7.026447772979736
460681.87809771363,4454149.5453656195,7.357675075531006
460760.28864539525,4454149.5453656195,7.420603275299072
460838.6991930768,4454149.5453656195,7.531679630279541
460917.10974075843,4454149.5453656195,7.609058380126953
460995.52028844,4454149.5453656195,7.603870868682861
461073.9308361216,4454149.5453656195,7.608416557312012
461152.3413838032,4454149.5453656195,7.579474925994873
461230.7519314848,4454149.5453656195,7.525042533874512
461309.1624791664,4454149.5453656195,7.496028423309326
461387.57302684797,4454149.5453656195,7.494051456451416
461622.80466989276,4454149.5453656195,7.4600372314453125
461701.2152175744,4454149.5453656195,7.475312232971191
461779.62576525594,4454149.5453656195,7.287691593170166
461858.03631293756,4454149.5453656195,7.223017692565918
461936.4468606192,4454149.5453656195,7.2029852867126465
462014.85740830074,4454149.5453656195,7.134950160980225
462093.26795598236,4454149.5453656195,7.060786724090576
462171.6785036639,4454149.5453656195,6.4743146896362305
462250.08905134554,4454149.5453656195,6.512760162353516
462328.4995990271,4454149.5453656195,6.160308361053467
462406.9101467087,4454149.5453656195,5.691273212432861
462485.32069439034,4454149.5453656195,5.234393119812012
462563.7312420719,4454149.5453656195,5.240494728088379
462642.1417897535,4454149.5453656195,5.161080837249756
462720.5523374351,4454149.5453656195,4.961306095123291
462798.9628851167,4454149.5453656195,4.950558185577393
460289.82535930566,4454071.134817937,5.1203484535217285
460368.2359069873,4454071.134817937,5.817383766174316
460446.64645466884,4454071.134817937,6.379029273986816
460525.05700235046,4454071.134817937,6.580451488494873
460603.467550032,4454071.134817937,6.951210021972656
460681.87809771363,4454071.134817937,7.330786228179932
460760.28864539525,4454071.134817937,7.303701877593994
460838.6991930768,4454071.134817937,7.274210453033447
460917.10974075843,4454071.134817937,7.282474040985107
460995.52028844,4454071.134817937,7.3596110343933105
461073.9308361216,4454071.134817937,7.365086555480957
461152.3413838032,4454071.134817937,7.336869716644287
461230.7519314848,4454071.134817937,7.299026012420654
461309.1624791664,4454071.134817937,7.371367931365967
461387.57302684797,4454071.134817937,7.3885498046875
461465.9835745296,4454071.134817937,50.88136291503906
461544.3941222112,4454071.134817937,50.717315673828125
461622.80466989276,4454071.134817937,50.44139862060547
461701.2152175744,4454071.134817937,50.049407958984375
461779.62576525594,4454071.134817937,49.96955108642578
461858.03631293756,4454071.134817937,49.489933013916016
461936.4468606192,4454071.134817937,7.045019626617432
462014.85740830074,4454071.134817937,7.0428924560546875
462093.26795598236,4454071.134817937,6.939401149749756
462171.6785036639,4454071.134817937,6.391412734985352
462250.08905134554,4454071.134817937,6.4257001876831055
462328.4995990271,4454071.134817937,6.097805023193359
462406.9101467087,4454071.134817937,5.145538806915283
462485.32069439034,4454071.134817937,5.214496612548828
462563.7312420719,4454071.134817937,5.2165350914001465
462642.1417897535,4454071.134817937,5.002793312072754
462798.9628851167,4454071.134817937,4.950558185577393
460211.41481162404,4453992.724270256,4.955353260040283
460289.82535930566,4453992.724270256,5.1203484535217285
460368.2359069873,4453992.724270256,5.817383766174316
460446.64645466884,4453992.724270256,6.379029273986816
460525.05700235046,4453992.724270256,6.580451488494873
460603.467550032,4453992.724270256,6.951210021972656
460681.87809771363,4453992.724270256,7.330786228179932
460760.28864539525,4453992.724270256,7.303701877593994
460838.6991930768,4453992.724270256,7.274210453033447
460917.10974075843,4453992.724270256,7.282474040985107
460995.52028844,4453992.724270256,7.3596110343933105
461073.9308361216,4453992.724270256,7.365086555480957
461152.3413838032,4453992.724270256,7.336869716644287
461230.7519314848,4453992.724270256,7.299026012420654
461309.1624791664,4453992.724270256,7.371367931365967
461387.57302684797,4453992.724270256,7.3885498046875
461465.9835745296,4453992.724270256,50.88136291503906
461544.3941222112,4453992.724270256,50.717315673828125
461622.80466989276,4453992.724270256,50.44139862060547
461701.2152175744,4453992.724270256,50.049407958984375
461779.62576525594,4453992.724270256,49.96955108642578
461858.03631293756,4453992.724270256,49.489933013916016
461936.4468606192,4453992.724270256,7.045019626617432
462014.85740830074,4453992.724270256,7.0428924560546875
462093.26795598236,4453992.724270256,6.939401149749756
462171.6785036639,4453992.724270256,6.391412734985352
462250.08905134554,4453992.724270256,6.4257001876831055
462328.4995990271,4453992.724270256,6.097805023193359
462406.9101467087,4453992.724270256,5.145538806915283
462485.32069439034,4453992.724270256,5.214496612548828
462563.7312420719,4453992.724270256,5.2165350914001465
462642.1417897535,4453992.724270256,5.002793312072754
460211.41481162404,4453914.313722575,4.955353260040283
460289.82535930566,4453914.313722575,5.501707077026367
460368.2359069873,4453914.313722575,5.729934215545654
460446.64645466884,4453914.313722575,41.212825775146484
460525.05700235046,4453914.313722575,43.07246398925781
460603.467550032,4453914.313722575,45.91839599609375
460681.87809771363,4453914.313722575,48.80794143676758
460760.28864539525,4453914.313722575,49.225669860839844
460838.6991930768,4453914.313722575,49.90904235839844
460917.10974075843,4453914.313722575,50.63665771484375
460995.52028844,4453914.313722575,51.30071258544922
461073.9308361216,4453914.313722575,51.13460922241211
461152.3413838032,4453914.313722575,51.198097229003906
461230.7519314848,4453914.313722575,51.49101257324219
461309.1624791664,4453914.313722575,51.577632904052734
461387.57302684797,4453914.313722575,51.511409759521484
461465.9835745296,4453914.313722575,51.02848434448242
461544.3941222112,4453914.313722575,50.94614791870117
461622.80466989276,4453914.313722575,51.39623260498047
461701.2152175744,4453914.313722575,52.332759857177734
461779.62576525594,4453914.313722575,51.95316696166992
461858.03631293756,4453914.313722575,51.01821517944336
461936.4468606192,4453914.313722575,50.07696533203125
462014.85740830074,4453914.313722575,50.03070068359375
462093.26795598236,4453914.313722575,48.725093841552734
462171.6785036639,4453914.313722575,44.61585235595703
462250.08905134554,4453914.313722575,45.20145034790039
462328.4995990271,4453914.313722575,42.94636154174805
462406.9101467087,4453914.313722575,39.55257034301758
462485.32069439034,4453914.313722575,39.55286407470703
462563.7312420719,4453914.313722575,39.689125061035156
452370.3600434645,4453835.903174893,2.075556755065918
460054.59371626086,4453835.903174893,33.354007720947266
460133.0042639425,4453835.903174893,35.070289611816406
460211.41481162404,4453835.903174893,37.3821907043457
460289.82535930566,4453835.903174893,37.80204391479492
460368.2359069873,4453835.903174893,38.82501983642578
460446.64645466884,4453835.903174893,40.82295227050781
460525.05700235046,4453835.903174893,44.096168518066406
460603.467550032,4453835.903174893,46.2949104309082
460681.87809771363,4453835.903174893,49.18415451049805
460760.28864539525,4453835.903174893,49.86815643310547
460838.6991930768,4453835.903174893,49.92208480834961
460917.10974075843,4453835.903174893,50.19260787963867
460995.52028844,4453835.903174893,51.2745246887207
461073.9308361216,4453835.903174893,51.288814544677734
461152.3413838032,4453835.903174893,51.42486572265625
461230.7519314848,4453835.903174893,51.83401870727539
