construction_type,new_construction,elevator,floors_in_the_building,floor_area,number_of_rooms,number_of_bathrooms,ceiling_height,floor,balcony,furniture,renovation,price,currency,datetime,reg_id,Latitude,Longitude
Monolith,1.0,1.0,17.0,96.0,3.0,2.0,3.0,4.0,Open balcony,Not available,Old Renovation,257000.0,USD,2022-11-25,1,40.1765399,44.5167009
Stone,0.0,0.0,5.0,85.0,3.0,1.0,2.75,4.0,Closed balcony,Available,Major Renovation,166000.0,USD,2022-11-25,1,40.1830977,44.510417
Monolith,1.0,1.0,11.0,50.0,2.0,1.0,3.0,5.0,Not available,Available,Major Renovation,155000.0,USD,2022-11-25,1,40.1806224,44.5081781
Panels,0.0,1.0,12.0,86.0,3.0,1.0,2.8,6.0,Open balcony,Available,Major Renovation,155000.0,USD,2022-11-25,1,40.1830977,44.510417
Stone,0.0,1.0,5.0,68.0,2.0,1.0,3.2,3.0,Closed balcony,,Old Renovation,164000.0,USD,2022-11-25,1,40.1767557,44.5273848
Monolith,1.0,1.0,16.0,111.0,3.0,2.0,2.8,6.0,Multiple balconies,Not available,Major Renovation,360000.0,USD,2022-11-25,1,40.1805896,44.5039432
Panels,0.0,1.0,10.0,43.0,1.0,1.0,2.7,6.0,Not available,Available,Cosmetic Renovation,80000.0,USD,2022-11-25,1,40.1741177,44.5060819
Stone,0.0,0.0,5.0,47.0,1.0,1.0,3.0,5.0,Open balcony,Available,Partial Renovation,75000.0,USD,2022-11-25,1,40.1767557,44.5273848
Panels,0.0,1.0,11.0,42.0,1.0,1.0,2.7,7.0,Closed balcony,Available,Cosmetic Renovation,75000.0,USD,2022-11-25,1,40.1721,44.5110727
Stone,0.0,0.0,5.0,80.0,3.0,1.0,3.0,4.0,Closed balcony,Available,Major Renovation,280000.0,USD,2022-11-25,1,40.1806224,44.5081781
Monolith,1.0,1.0,8.0,91.0,3.0,2.0,3.0,2.0,Open balcony,,Major Renovation,180000.0,USD,2022-11-25,1,40.210123,44.5091929
Panels,0.0,1.0,14.0,117.0,4.0,1.0,2.8,3.0,Open balcony,,Major Renovation,155000.0,USD,2022-11-25,1,40.210123,44.5091929
Monolith,1.0,0.0,4.0,100.0,4.0,2.0,2.8,2.0,Not available,,Major Renovation,125000.0,USD,2022-11-25,1,40.220299,44.48818929999999
Monolith,1.0,1.0,8.0,95.0,3.0,1.0,3.0,2.0,Open balcony,,Major Renovation,173333.0,USD,2022-11-25,1,40.210123,44.5091929
Stone,0.0,0.0,5.0,30.0,2.0,1.0,2.7,5.0,Not available,,Major Renovation,72000.0,USD,2022-11-25,1,40.210123,44.5091929
Stone,0.0,0.0,3.0,90.0,4.0,2.0,3.0,3.0,Open balcony,By agreement,Partial Renovation,118000.0,USD,2022-11-25,1,40.2034871,44.523991
Panels,0.0,0.0,4.0,70.0,3.0,1.0,2.5,1.0,Not available,,Cosmetic Renovation,80000.0,USD,2022-11-25,1,40.2028687,44.5337444
Panels,0.0,1.0,16.0,63.0,2.0,1.0,2.75,9.0,Closed balcony,Available,Designer Renovation,75000.0,USD,2022-11-25,1,40.21246379999999,44.470005
Monolith,1.0,1.0,14.0,65.0,2.0,1.0,3.0,12.0,Not available,Available,Major Renovation,168000.0,USD,2022-11-25,1,40.1739619,44.5032405
Monolith,1.0,1.0,15.0,67.0,3.0,1.0,3.0,15.0,Open balcony,Available,Designer Renovation,203000.0,USD,2022-11-25,1,40.1739619,44.5032405
Monolith,1.0,1.0,14.0,138.0,3.0,2.0,3.0,13.0,Open balcony,Available,Designer Renovation,650000.0,USD,2022-11-25,1,40.179775,44.5133319
Stone,0.0,0.0,5.0,77.0,2.0,1.0,2.75,5.0,Closed balcony,,Cosmetic Renovation,86000.0,USD,2022-11-25,1,40.2095416,44.5090465
Monolith,1.0,1.0,11.0,610.0,4.0,3.0,3.0,11.0,Multiple balconies,Available,Designer Renovation,1800000.0,USD,2022-11-25,1,40.1813324,44.5145872
Stone,0.0,0.0,5.0,61.0,2.0,1.0,2.75,2.0,Closed balcony,,Old Renovation,92000.0,USD,2022-11-25,1,40.1658586,44.5131713
Monolith,1.0,1.0,16.0,63.0,2.0,1.0,3.0,9.0,Closed balcony,By agreement,Major Renovation,206.18,AMD,2022-11-25,1,40.21246379999999,44.470005
Panels,0.0,1.0,14.0,76.0,3.0,1.0,2.75,14.0,Multiple balconies,,No Renovation,59000.0,USD,2022-11-25,1,40.2088016,44.463278
Monolith,1.0,1.0,11.0,55.0,2.0,1.0,3.0,7.0,Not available,Available,Euro Renovation,150000.0,USD,2022-11-25,1,40.2057999,44.5062259
Monolith,1.0,1.0,15.0,70.0,2.0,1.0,3.0,12.0,Open balcony,Available,Cosmetic Renovation,113000.0,USD,2022-11-25,1,40.1763052,44.4457561
Stone,0.0,0.0,5.0,74.0,3.0,1.0,2.7,5.0,Multiple balconies,Not available,No Renovation,78000.0,USD,2022-11-25,1,40.2003094,44.5255475
Panels,0.0,1.0,9.0,78.0,2.0,1.0,2.75,1.0,Closed balcony,Available,Partial Renovation,216.32,AMD,2022-11-25,1,40.22094269999999,44.4881818
Panels,0.0,1.0,11.0,70.0,2.0,1.0,2.7,8.0,Open balcony,Available,Major Renovation,152000.0,USD,2022-11-25,1,40.1844812,44.5059276
Stone,0.0,0.0,5.0,78.0,2.0,1.0,3.5,2.0,Closed balcony,Not available,Cosmetic Renovation,184000.0,USD,2022-11-25,1,40.179775,44.5133319
Stone,0.0,0.0,5.0,97.0,3.0,1.0,2.8,5.0,Open balcony,By agreement,Partial Renovation,97000.0,USD,2022-11-25,1,40.2095416,44.5090465
Monolith,1.0,1.0,16.0,80.0,2.0,1.0,3.0,6.0,Closed balcony,Not available,No Renovation,1600.0,USD,2022-11-25,1,40.2041713,44.5174196
Stone,0.0,0.0,5.0,72.0,2.0,1.0,3.0,3.0,Closed balcony,Available,Old Renovation,130000.0,USD,2022-11-25,1,40.1949713,44.4880394
Monolith,1.0,1.0,6.0,75.0,3.0,1.0,3.0,4.0,Open balcony,Available,Major Renovation,130000.0,USD,2022-11-25,1,40.1912299,44.4713366
Stone,0.0,0.0,5.0,88.0,3.0,1.0,3.0,3.0,Closed balcony,Available,Cosmetic Renovation,155000.0,USD,2022-11-25,1,40.1949713,44.4880394
Stone,0.0,0.0,5.0,90.0,3.0,1.0,2.7,3.0,Open balcony,,Major Renovation,145000.0,USD,2022-11-25,1,40.2057999,44.5062259
Stone,0.0,0.0,5.0,60.0,3.0,1.0,3.0,3.0,Closed balcony,,Euro Renovation,110000.0,USD,2022-11-25,1,40.2057999,44.5062259
Monolith,1.0,1.0,17.0,145.0,4.0,2.0,3.0,11.0,Multiple balconies,Available,Euro Renovation,395000.0,USD,2022-11-25,1,40.1922371,44.5041657
Stone,0.0,0.0,5.0,120.0,4.0,1.0,2.75,5.0,Open balcony,By agreement,Major Renovation,135000.0,USD,2022-11-25,1,40.2068668,44.5104334
Stone,0.0,0.0,5.0,82.0,3.0,1.0,3.0,5.0,Open balcony,Available,Designer Renovation,135000.0,USD,2022-11-25,1,40.2094973,44.5140293
Panels,0.0,1.0,16.0,100.0,4.0,1.0,2.75,11.0,Closed balcony,By agreement,Designer Renovation,180000.0,USD,2022-11-25,1,40.1979912,44.4998781
Monolith,1.0,1.0,17.0,65.0,3.0,1.0,3.0,8.0,Open balcony,Available,Designer Renovation,180000.0,USD,2022-11-25,1,40.2057999,44.5062259
Monolith,1.0,1.0,14.0,104.0,3.0,2.0,2.8,6.0,Closed balcony,By agreement,Major Renovation,195000.0,USD,2022-11-25,1,40.2124197,44.5229777
Monolith,1.0,1.0,16.0,62.0,2.0,1.0,3.0,15.0,Open balcony,By agreement,Designer Renovation,138000.0,USD,2022-11-25,1,40.210123,44.5091929
Monolith,1.0,1.0,18.0,108.0,2.0,2.0,3.5,11.0,Not available,By agreement,Designer Renovation,185000.0,USD,2022-11-25,1,40.2026752,44.5067101
Monolith,1.0,1.0,18.0,107.0,3.0,1.0,3.0,8.0,Multiple balconies,By agreement,Major Renovation,170000.0,USD,2022-11-25,1,40.2026752,44.5067101
Stone,0.0,0.0,5.0,95.0,3.0,1.0,2.75,2.0,Closed balcony,By agreement,Designer Renovation,143000.0,USD,2022-11-25,1,40.2057999,44.5062259
Monolith,0.0,1.0,9.0,99.0,2.0,1.0,2.8,8.0,Closed balcony,Available,Major Renovation,215000.0,USD,2022-11-25,1,40.1933576,44.4927759
Panels,0.0,1.0,9.0,80.0,3.0,1.0,3.0,4.0,Multiple balconies,Available,Designer Renovation,110000.0,USD,2022-11-25,1,40.1686452,44.45749199999999
Monolith,1.0,1.0,8.0,147.0,3.0,2.0,2.7,8.0,Open balcony,Available,Designer Renovation,700000.0,USD,2022-11-25,1,40.1819487,44.514288
Panels,0.0,1.0,9.0,73.0,3.0,1.0,2.75,9.0,Closed balcony,Not available,Partial Renovation,65000.0,USD,2022-11-25,1,40.160491,44.4426945
Stone,0.0,0.0,6.0,34.0,2.0,1.0,2.6,1.0,Not available,,Cosmetic Renovation,35000.0,USD,2022-11-25,1,40.1464097,44.4860345
Panels,0.0,1.0,16.0,75.0,3.0,1.0,2.75,10.0,Multiple balconies,By agreement,Major Renovation,83000.0,USD,2022-11-25,1,40.2035356,44.4687243
Monolith,1.0,0.0,12.0,60.0,2.0,1.0,3.0,12.0,Not available,Available,Designer Renovation,130000.0,USD,2022-11-25,1,40.1931459,44.473594
Monolith,1.0,1.0,15.0,115.0,3.0,2.0,3.0,5.0,Open balcony,Available,Major Renovation,285000.0,USD,2022-11-25,1,40.1815292,44.4844369
Monolith,1.0,1.0,16.0,120.0,4.0,2.0,3.0,13.0,Open balcony,Available,Major Renovation,320000.0,USD,2022-11-25,1,40.1922371,44.5041657
Monolith,1.0,1.0,18.0,106.0,2.0,2.0,3.0,12.0,Open balcony,Available,Major Renovation,255000.0,USD,2022-11-25,1,40.1815292,44.4844369
Stone,0.0,1.0,6.0,94.0,3.0,1.0,2.8,6.0,Open balcony,Available,Major Renovation,165000.0,USD,2022-11-25,1,40.2057999,44.5062259
Monolith,1.0,1.0,9.0,183.0,4.0,2.0,3.0,4.0,Not available,Available,Major Renovation,550000.0,USD,2022-11-25,1,40.2026752,44.5067101
Monolith,1.0,1.0,15.0,84.0,3.0,1.0,3.0,11.0,Open balcony,Available,Major Renovation,230000.0,USD,2022-11-25,1,40.1933576,44.4927759
Monolith,1.0,1.0,15.0,122.0,3.0,2.0,3.0,10.0,Open balcony,Available,Major Renovation,420000.0,USD,2022-11-25,1,40.1959677,44.5093509
Panels,0.0,1.0,10.0,77.0,2.0,1.0,2.7,2.0,Closed balcony,Not available,Old Renovation,165000.0,USD,2022-11-25,1,40.1872023,44.515209
Monolith,1.0,1.0,11.0,83.0,3.0,1.0,3.0,10.0,Open balcony,Available,Major Renovation,160000.0,USD,2022-11-25,1,40.2012047,44.5014376
Stone,0.0,0.0,5.0,70.0,2.0,1.0,3.2,5.0,Closed balcony,By agreement,Major Renovation,135000.0,USD,2022-11-25,1,40.2057999,44.5062259
Monolith,1.0,1.0,12.0,88.0,3.0,2.0,3.0,4.0,Open balcony,Not available,Partial Renovation,250000.0,USD,2022-11-25,1,40.1813324,44.5145872
Monolith,0.0,1.0,9.0,95.0,3.0,2.0,2.75,9.0,Closed balcony,Available,Designer Renovation,155000.0,USD,2022-11-25,1,40.1997967,44.4878826
Monolith,1.0,1.0,16.0,176.0,4.0,2.0,3.0,5.0,Open balcony,By agreement,Major Renovation,360000.0,USD,2022-11-25,1,40.189192,44.4943418
Monolith,1.0,1.0,7.0,155.0,3.0,3.0,3.0,5.0,Multiple balconies,By agreement,Designer Renovation,455000.0,USD,2022-11-25,1,40.1959677,44.5093509
Monolith,1.0,1.0,13.0,121.0,3.0,2.0,3.0,3.0,Open balcony,Not available,Major Renovation,280000.0,USD,2022-11-25,1,40.1833847,44.500118
Monolith,1.0,1.0,12.0,85.0,3.0,1.0,2.8,8.0,Not available,By agreement,Major Renovation,102000.0,USD,2022-11-25,1,40.21246379999999,44.470005
Stone,0.0,0.0,5.0,150.0,4.0,2.0,3.0,5.0,Open balcony,By agreement,Major Renovation,380000.0,USD,2022-11-25,1,40.1890256,44.5156343
Stone,0.0,0.0,4.0,164.0,4.0,2.0,3.0,4.0,Multiple balconies,By agreement,Major Renovation,350000.0,USD,2022-11-25,1,40.1844812,44.5059276
Monolith,1.0,1.0,22.0,173.0,4.0,3.0,3.0,16.0,Open balcony,Available,Major Renovation,700000.0,USD,2022-11-25,1,40.1739979,44.5213035
Monolith,1.0,1.0,22.0,90.0,3.0,2.0,3.0,18.0,Open balcony,Available,Designer Renovation,350000.0,USD,2022-11-25,1,40.1739979,44.5213035
Monolith,1.0,1.0,16.0,225.0,5.0,3.0,3.0,8.0,Open balcony,By agreement,Major Renovation,690000.0,USD,2022-11-25,1,40.1806224,44.5081781
Monolith,1.0,1.0,4.0,92.0,2.0,1.0,3.0,1.0,Open balcony,Available,Major Renovation,195000.0,USD,2022-11-25,1,40.1959677,44.5093509
Stone,0.0,0.0,6.0,91.0,4.0,1.0,2.75,5.0,Not available,By agreement,Major Renovation,150000.0,USD,2022-11-25,1,40.1872023,44.515209
Monolith,1.0,1.0,9.0,86.0,2.0,2.0,3.0,5.0,Open balcony,Available,Major Renovation,185000.0,USD,2022-11-25,1,40.1646517,44.5190558
Monolith,1.0,1.0,15.0,121.0,3.0,2.0,3.0,3.0,Open balcony,Available,Major Renovation,320000.0,USD,2022-11-25,1,40.189192,44.4943418
Monolith,1.0,1.0,14.0,117.0,3.0,2.0,3.0,13.0,Open balcony,By agreement,Major Renovation,320000.0,USD,2022-11-25,1,40.1922371,44.5041657
Monolith,1.0,0.0,4.0,137.0,3.0,2.0,3.0,4.0,Multiple balconies,By agreement,Major Renovation,179000.0,USD,2022-11-25,1,40.2104973,44.5077549
Panels,0.0,1.0,9.0,43.0,1.0,1.0,2.8,3.0,Open balcony,Available,No Renovation,46000.0,USD,2022-11-25,1,40.2984751,44.3516324
Monolith,1.0,1.0,9.0,120.0,3.0,2.0,3.0,8.0,Open balcony,Available,Major Renovation,450000.0,USD,2022-11-25,1,40.1813324,44.5145872
Monolith,1.0,1.0,16.0,134.0,3.0,2.0,3.5,3.0,Open balcony,By agreement,Designer Renovation,210000.0,USD,2022-11-25,1,40.2216483,44.4986189
Stone,0.0,0.0,5.0,78.0,2.0,1.0,3.0,1.0,Not available,By agreement,Major Renovation,250000.0,USD,2022-11-25,1,40.1890256,44.5156343
Stone,0.0,0.0,4.0,36.0,1.0,1.0,2.7,1.0,Not available,Not available,Cosmetic Renovation,43000.0,USD,2022-11-25,1,40.1912299,44.4713366
Monolith,1.0,1.0,6.0,128.0,3.0,2.0,3.0,4.0,Open balcony,Available,Major Renovation,440000.0,USD,2022-11-25,1,40.1844812,44.5059276
Stone,0.0,0.0,4.0,127.0,4.0,1.0,3.2,3.0,Open balcony,By agreement,Major Renovation,240000.0,USD,2022-11-25,1,40.1658586,44.5131713
Panels,0.0,1.0,9.0,90.0,3.0,1.0,2.75,8.0,Open balcony,By agreement,Major Renovation,140000.0,USD,2022-11-25,1,40.166725,44.5139142
Monolith,0.0,1.0,4.0,140.0,3.0,2.0,3.5,2.0,Open balcony,Not available,Major Renovation,205000.0,USD,2022-11-25,1,40.1896809,44.5355154
Stone,0.0,0.0,4.0,106.0,4.0,1.0,3.5,3.0,Multiple balconies,Available,Major Renovation,845.0,AMD,2022-11-25,1,40.1792461,44.5095374
Monolith,1.0,1.0,10.0,270.0,8.0,3.0,3.5,8.0,Multiple balconies,Available,Designer Renovation,1200000.0,USD,2022-11-25,1,40.1813324,44.5145872
Stone,0.0,1.0,6.0,70.0,3.0,1.0,3.2,6.0,Closed balcony,By agreement,Old Renovation,150000.0,USD,2022-11-25,1,40.1829508,44.5166621
Stone,0.0,0.0,5.0,54.0,3.0,1.0,2.7,2.0,Open balcony,,Major Renovation,60000.0,USD,2022-11-25,1,40.2053161,44.4768817
Monolith,1.0,0.0,5.0,130.0,4.0,2.0,3.5,5.0,Open balcony,Available,Major Renovation,155000.0,USD,2022-11-25,1,40.21997080000001,44.4359686
Monolith,1.0,1.0,16.0,68.0,2.0,1.0,2.8,4.0,Open balcony,Not available,Major Renovation,120000.0,USD,2022-11-25,1,40.2181019,44.4986442
Monolith,1.0,1.0,9.0,265.0,4.0,3.0,3.0,9.0,Open balcony,Not available,Major Renovation,550000.0,USD,2022-11-25,1,40.2026752,44.5067101
Monolith,1.0,1.0,11.0,78.0,2.0,1.0,2.8,10.0,Open balcony,Not available,Major Renovation,140000.0,USD,2022-11-25,1,40.2181019,44.4986442
Monolith,1.0,1.0,12.0,200.0,4.0,2.0,3.0,10.0,Not available,Available,Major Renovation,850000.0,USD,2022-11-25,1,40.1856198,44.517895
Stone,0.0,0.0,5.0,132.0,4.0,2.0,3.2,4.0,Open balcony,By agreement,Major Renovation,410000.0,USD,2022-11-25,1,40.1830977,44.510417
Monolith,1.0,1.0,14.0,94.0,3.0,2.0,3.0,1.0,Open balcony,Not available,Major Renovation,140000.0,USD,2022-11-25,1,40.2174401,44.5467774
Monolith,1.0,1.0,17.0,92.0,2.0,1.0,2.8,11.0,Open balcony,Not available,No Renovation,190000.0,USD,2022-11-25,1,40.2057999,44.5062259
Monolith,1.0,1.0,10.0,150.0,4.0,2.0,3.0,4.0,Open balcony,Available,Major Renovation,1000000.0,USD,2022-11-25,1,40.1813324,44.5145872
Stone,0.0,0.0,5.0,78.0,3.0,1.0,2.6,5.0,Closed balcony,Not available,Partial Renovation,90000.0,USD,2022-11-25,1,40.2057999,44.5062259
Monolith,1.0,1.0,16.0,130.0,3.0,2.0,3.0,9.0,Open balcony,Available,Major Renovation,1189.76,AMD,2022-11-25,1,40.1739979,44.5213035
Panels,0.0,1.0,9.0,73.0,3.0,1.0,2.75,3.0,Closed balcony,Not available,Cosmetic Renovation,75000.0,USD,2022-11-25,1,40.1784035,44.5773416
Panels,0.0,1.0,16.0,90.0,4.0,2.0,2.75,4.0,Not available,By agreement,Partial Renovation,220000.0,USD,2022-11-25,1,40.1855906,44.5193321
Monolith,1.0,1.0,8.0,90.0,3.0,2.0,3.0,4.0,Open balcony,,No Renovation,175000.0,USD,2022-11-25,1,40.2124197,44.5229777
Monolith,1.0,1.0,5.0,135.0,4.0,2.0,3.0,4.0,Open balcony,Available,Major Renovation,400000.0,USD,2022-11-25,1,40.1959677,44.5093509
Monolith,1.0,1.0,8.0,60.0,2.0,1.0,3.0,6.0,Not available,Available,Designer Renovation,123000.0,USD,2022-11-25,1,40.2053161,44.4768817
Monolith,1.0,1.0,15.0,97.0,3.0,2.0,3.0,9.0,Multiple balconies,Not available,Major Renovation,200000.0,USD,2022-11-25,1,40.2045129,44.5357173
Stone,0.0,0.0,4.0,100.0,4.0,1.0,3.0,4.0,Open balcony,By agreement,Major Renovation,245000.0,USD,2022-11-25,1,40.1773371,44.5074447
Monolith,1.0,1.0,6.0,160.0,4.0,2.0,3.0,6.0,Open balcony,Available,Major Renovation,670000.0,USD,2022-11-25,1,40.1871574,44.5180772
Panels,0.0,1.0,16.0,70.0,3.0,1.0,2.75,11.0,Open balcony,Available,Major Renovation,182000.0,USD,2022-11-25,1,40.1806224,44.5081781
Monolith,1.0,1.0,11.0,90.0,3.0,1.0,3.0,4.0,Closed balcony,Available,Euro Renovation,608.4,AMD,2022-11-25,1,40.1828222,44.512412
Monolith,1.0,1.0,18.0,84.0,3.0,1.0,3.0,13.0,Open balcony,Available,Major Renovation,190000.0,USD,2022-11-25,1,40.1815292,44.4844369
Panels,0.0,1.0,11.0,100.0,3.0,2.0,2.75,9.0,Open balcony,Available,Major Renovation,245000.0,USD,2022-11-25,1,40.1818572,44.5112724
Panels,0.0,1.0,9.0,97.0,4.0,1.0,2.8,8.0,Closed balcony,Not available,Major Renovation,87000.0,USD,2022-11-25,1,40.1733547,44.5679208
Monolith,1.0,1.0,17.0,100.0,3.0,1.0,2.8,3.0,Open balcony,Not available,Major Renovation,220000.0,USD,2022-11-25,1,40.1833847,44.500118
Monolith,1.0,1.0,6.0,145.0,4.0,2.0,3.0,1.0,Not available,Not available,Major Renovation,1088.36,AMD,2022-11-25,1,40.1959677,44.5093509
Monolith,1.0,1.0,11.0,156.0,4.0,2.0,3.0,10.0,Open balcony,Available,Major Renovation,460000.0,USD,2022-11-25,1,40.1833847,44.500118
Stone,0.0,0.0,5.0,140.0,5.0,1.0,2.8,2.0,Multiple balconies,Not available,Partial Renovation,93000.0,USD,2022-11-25,1,40.2035356,44.4687243
Monolith,1.0,1.0,17.0,80.0,3.0,1.0,3.0,6.0,Open balcony,By agreement,Major Renovation,315000.0,USD,2022-11-25,1,40.1846795,44.5080774
Monolith,1.0,1.0,14.0,76.0,3.0,1.0,2.8,10.0,Open balcony,Not available,Major Renovation,235000.0,USD,2022-11-25,1,40.2026752,44.5067101
Panels,0.0,1.0,16.0,91.0,3.0,1.0,2.8,5.0,Multiple balconies,Not available,No Renovation,71000.0,USD,2022-11-25,1,40.2001069,44.5664826
Stone,0.0,0.0,5.0,80.0,3.0,2.0,2.8,1.0,Open balcony,By agreement,Partial Renovation,77000.0,USD,2022-11-25,1,40.2984751,44.3516324
Stone,0.0,0.0,4.0,69.0,3.0,1.0,3.0,4.0,Closed balcony,Available,Euro Renovation,107000.0,USD,2022-11-25,1,40.1997976,44.4794977
Monolith,1.0,1.0,14.0,55.0,2.0,1.0,3.0,5.0,Open balcony,Available,No Renovation,256.88,AMD,2022-11-25,1,40.1912299,44.4713366
Monolith,1.0,1.0,18.0,105.0,3.0,2.0,2.8,7.0,Open balcony,,Major Renovation,170000.0,USD,2022-11-25,1,40.2026752,44.5067101
Stone,0.0,0.0,5.0,58.0,2.0,1.0,2.7,4.0,Open balcony,,Old Renovation,219.7,AMD,2022-11-25,1,40.2057999,44.5062259
Monolith,1.0,1.0,14.0,100.0,3.0,1.0,3.0,10.0,Multiple balconies,Not available,No Renovation,145000.0,USD,2022-11-25,1,40.2041713,44.5174196
Stone,0.0,0.0,4.0,85.0,3.0,1.0,3.0,2.0,Closed balcony,,Old Renovation,179000.0,USD,2022-11-25,1,40.1830977,44.510417
Monolith,1.0,1.0,18.0,76.0,2.0,1.0,3.0,10.0,Open balcony,By agreement,Major Renovation,304.2,AMD,2022-11-25,1,40.2017581,44.5451442
Panels,0.0,1.0,9.0,40.0,1.0,1.0,2.8,7.0,Open balcony,,Partial Renovation,95000.0,USD,2022-11-25,1,40.1880001,44.5175765
Monolith,1.0,1.0,10.0,93.0,3.0,2.0,3.0,3.0,Open balcony,Available,Designer Renovation,220000.0,USD,2022-11-25,1,40.2026752,44.5067101
Stone,0.0,0.0,5.0,130.0,3.0,1.0,2.8,4.0,Open balcony,,Major Renovation,215000.0,USD,2022-11-25,1,40.2034871,44.523991
Stone,0.0,0.0,4.0,107.0,3.0,1.0,3.0,4.0,Open balcony,,Major Renovation,350000.0,USD,2022-11-25,1,40.1856198,44.517895
Monolith,1.0,1.0,11.0,112.0,3.0,2.0,2.8,2.0,Open balcony,Not available,Euro Renovation,420000.0,USD,2022-11-25,1,40.179775,44.5133319
Panels,0.0,1.0,9.0,65.0,2.0,1.0,2.8,4.0,Closed balcony,Not available,Partial Renovation,105000.0,USD,2022-11-25,1,40.1933576,44.4927759
Stone,0.0,0.0,5.0,68.0,2.0,1.0,3.0,4.0,Open balcony,,Partial Renovation,120000.0,USD,2022-11-25,1,40.0234614,44.4867647
Panels,0.0,1.0,9.0,71.0,3.0,1.0,2.75,7.0,Closed balcony,Not available,Partial Renovation,129000.0,USD,2022-11-25,1,40.1844812,44.5059276
Stone,0.0,0.0,5.0,100.0,3.0,1.0,2.8,4.0,Open balcony,By agreement,Euro Renovation,135000.0,USD,2022-11-25,1,40.2068668,44.5104334
Monolith,1.0,1.0,15.0,100.0,3.0,2.0,3.0,14.0,Open balcony,Not available,Euro Renovation,180000.0,USD,2022-11-25,1,40.2045129,44.5357173
Panels,0.0,1.0,11.0,40.0,1.0,1.0,2.75,9.0,Not available,By agreement,Major Renovation,96000.0,USD,2022-11-25,1,40.1844812,44.5059276
Stone,0.0,0.0,5.0,95.0,3.0,2.0,2.8,1.0,Not available,Available,Major Renovation,98000.0,USD,2022-11-25,1,40.2051737,44.4759851
Monolith,1.0,1.0,9.0,92.0,3.0,1.0,3.0,3.0,Open balcony,Available,Major Renovation,235000.0,USD,2022-11-25,1,40.1959677,44.5093509
Stone,0.0,0.0,5.0,140.0,5.0,2.0,2.7,5.0,Not available,By agreement,Major Renovation,130000.0,USD,2022-11-25,1,40.2035356,44.4687243
Stone,0.0,0.0,5.0,100.0,3.0,1.0,3.2,4.0,Open balcony,By agreement,Old Renovation,255000.0,USD,2022-11-25,1,40.1848216,44.5101919
Stone,0.0,1.0,5.0,130.0,5.0,2.0,2.8,2.0,Closed balcony,Available,Designer Renovation,125000.0,USD,2022-11-25,1,40.21997080000001,44.4359686
Panels,0.0,1.0,10.0,96.0,3.0,1.0,3.0,9.0,Open balcony,Available,Major Renovation,250000.0,USD,2022-11-25,1,40.1856198,44.517895
Stone,0.0,0.0,5.0,83.0,3.0,1.0,3.0,5.0,Not available,Not available,Major Renovation,200000.0,USD,2022-11-25,1,40.1830977,44.510417
Stone,0.0,0.0,5.0,90.0,3.0,1.0,2.75,4.0,Open balcony,Available,Major Renovation,225000.0,USD,2022-11-25,1,40.188272,44.5199419
Stone,0.0,0.0,5.0,75.0,3.0,1.0,2.75,5.0,Closed balcony,Available,Major Renovation,95000.0,USD,2022-11-25,1,40.210123,44.5091929
Panels,0.0,1.0,11.0,87.0,3.0,1.0,2.75,2.0,Open balcony,Available,Major Renovation,190000.0,USD,2022-11-25,1,40.1806224,44.5081781
Stone,0.0,0.0,4.0,148.0,4.0,1.0,3.2,3.0,Open balcony,Available,Major Renovation,430000.0,USD,2022-11-25,1,40.1829508,44.5166621
Monolith,1.0,1.0,20.0,145.0,4.0,2.0,3.0,7.0,Open balcony,Available,Major Renovation,550000.0,USD,2022-11-25,1,40.1846795,44.5080774
Monolith,1.0,1.0,15.0,124.0,4.0,2.0,3.0,12.0,Multiple balconies,By agreement,Designer Renovation,255000.0,USD,2022-11-25,1,40.2181829,44.57177
Monolith,1.0,1.0,17.0,39.0,1.0,1.0,3.0,10.0,Not available,Available,Major Renovation,642.1999999999999,AMD,2022-11-25,1,40.1818622,44.5089465
Panels,0.0,1.0,9.0,74.0,3.0,1.0,2.75,9.0,Closed balcony,Available,Old Renovation,65000.0,USD,2022-11-25,1,40.2001069,44.5664826
Stone,0.0,0.0,4.0,115.0,3.0,1.0,3.2,4.0,Open balcony,Available,Major Renovation,225000.0,USD,2022-11-25,1,40.1815734,44.520049
Stone,0.0,0.0,5.0,190.0,3.0,1.0,3.5,2.0,Open balcony,Available,Designer Renovation,599000.0,USD,2022-11-25,1,40.1880001,44.5175765
Monolith,1.0,1.0,18.0,42.0,2.0,1.0,3.0,5.0,Not available,Not available,No Renovation,204000.0,USD,2022-11-25,1,40.1846795,44.5080774
Monolith,1.0,1.0,6.0,144.0,4.0,2.0,3.0,1.0,Not available,,Designer Renovation,1088.36,AMD,2022-11-25,1,40.1959677,44.5093509
Stone,0.0,0.0,5.0,77.0,3.0,1.0,2.75,1.0,Closed balcony,Not available,Old Renovation,66000.0,USD,2022-11-25,1,40.2051737,44.4759851
Panels,0.0,1.0,9.0,80.0,3.0,2.0,2.75,6.0,Closed balcony,,Major Renovation,85000.0,USD,2022-11-25,1,40.1763052,44.4457561
Monolith,1.0,1.0,18.0,262.0,5.0,3.0,3.0,6.0,Open balcony,Not available,Major Renovation,1250000.0,USD,2022-11-25,1,40.1856198,44.517895
