construction_type,new_construction,elevator,floors_in_the_building,floor_area,number_of_rooms,number_of_bathrooms,ceiling_height,floor,balcony,furniture,renovation,price,currency,datetime,reg_id,Latitude,Longitude
Stone,0.0,0.0,4.0,107.0,3.0,2.0,3.2,4.0,Open balcony,Available,Major Renovation,350000.0,USD,2022-11-25,1,40.1856198,44.517895
Stone,0.0,0.0,5.0,62.0,2.0,1.0,3.0,3.0,Closed balcony,Available,Partial Renovation,139000.0,USD,2022-11-25,1,40.1739979,44.5213035
Stone,0.0,0.0,5.0,110.0,3.0,1.0,3.2,3.0,Open balcony,Available,Major Renovation,372000.0,USD,2022-11-25,1,40.1851571,44.5206
Panels,0.0,1.0,16.0,63.0,2.0,1.0,2.75,2.0,Open balcony,,Old Renovation,60000.0,USD,2022-11-25,1,40.1872023,44.515209
Panels,0.0,1.0,9.0,92.0,3.0,1.0,2.75,8.0,Closed balcony,,Euro Renovation,133000.0,USD,2022-11-25,1,40.2012047,44.5014376
Monolith,1.0,1.0,12.0,105.0,3.0,1.0,3.0,3.0,Open balcony,Not available,Major Renovation,198000.0,USD,2022-11-25,1,40.1660217,44.5169416
Monolith,0.0,1.0,12.0,94.0,3.0,2.0,2.8,3.0,Open balcony,,Euro Renovation,350000.0,USD,2022-11-25,1,40.1792461,44.5095374
Panels,0.0,1.0,9.0,112.0,4.0,1.0,2.7,7.0,Open balcony,,Partial Renovation,100000.0,USD,2022-11-25,1,40.2035356,44.4687243
Panels,0.0,1.0,14.0,106.0,4.0,2.0,2.75,8.0,Not available,Not available,Old Renovation,88000.0,USD,2022-11-25,1,40.1686452,44.45749199999999
Panels,0.0,1.0,13.0,94.0,3.0,1.0,2.75,7.0,Closed balcony,,Old Renovation,200000.0,USD,2022-11-25,1,40.1815734,44.520049
Monolith,1.0,1.0,11.0,84.0,3.0,1.0,3.0,10.0,Not available,Not available,Major Renovation,220000.0,USD,2022-11-25,1,40.1872023,44.515209
Monolith,1.0,1.0,11.0,150.0,4.0,2.0,3.0,5.0,Open balcony,Not available,No Renovation,220000.0,USD,2022-11-25,1,40.2181019,44.4986442
Stone,0.0,0.0,4.0,78.0,3.0,1.0,3.0,3.0,Closed balcony,By agreement,Euro Renovation,135000.0,USD,2022-11-25,1,40.2057999,44.5062259
Panels,0.0,1.0,16.0,92.0,4.0,1.0,2.7,13.0,Closed balcony,By agreement,Designer Renovation,110000.0,USD,2022-11-25,1,40.1899228,44.582483
Monolith,1.0,1.0,6.0,50.0,2.0,1.0,3.0,4.0,Open balcony,Available,Major Renovation,175000.0,USD,2022-11-25,1,40.1658586,44.5131713
Panels,0.0,0.0,5.0,58.0,2.0,1.0,2.75,5.0,Not available,By agreement,Cosmetic Renovation,53000.0,USD,2022-11-25,1,40.1987069,44.5618562
Panels,0.0,1.0,9.0,86.0,4.0,1.0,2.75,4.0,Open balcony,,Major Renovation,120000.0,USD,2022-11-25,1,40.2126745,44.5810739
Panels,0.0,1.0,16.0,88.0,3.0,1.0,2.75,7.0,Open balcony,Not available,Partial Renovation,98000.0,USD,2022-11-25,1,40.21997080000001,44.4359686
Panels,0.0,1.0,9.0,78.0,3.0,1.0,2.75,3.0,Closed balcony,,Partial Renovation,80000.0,USD,2022-11-25,1,40.1931459,44.473594
Panels,0.0,1.0,11.0,60.0,2.0,1.0,2.75,3.0,Not available,,Old Renovation,69000.0,USD,2022-11-25,1,40.210123,44.5091929
Panels,0.0,1.0,12.0,68.0,3.0,1.0,2.75,12.0,Open balcony,,Major Renovation,175000.0,USD,2022-11-25,1,40.1830977,44.510417
Monolith,1.0,1.0,14.0,105.0,3.0,1.0,3.0,11.0,Open balcony,,Major Renovation,178000.0,USD,2022-11-25,1,40.2026752,44.5067101
Panels,0.0,1.0,9.0,76.0,3.0,1.0,2.7,6.0,Not available,By agreement,Major Renovation,88000.0,USD,2022-11-25,1,40.1784035,44.5773416
Stone,0.0,0.0,5.0,62.0,2.0,1.0,2.7,5.0,Not available,,Major Renovation,155000.0,USD,2022-11-25,1,40.1773371,44.5074447
Stone,0.0,0.0,5.0,90.0,4.0,2.0,3.5,4.0,Open balcony,By agreement,Old Renovation,123000.0,USD,2022-11-25,1,40.210123,44.5091929
Stone,0.0,0.0,4.0,90.0,3.0,2.0,3.5,4.0,Open balcony,,Euro Renovation,547.56,AMD,2022-11-25,1,40.1867172,44.5229081
Panels,0.0,1.0,9.0,62.0,3.0,1.0,2.75,5.0,Closed balcony,By agreement,Old Renovation,67000.0,USD,2022-12-15,1,40.1634197,44.4445172
Monolith,0.0,1.0,16.0,85.0,3.0,1.0,2.75,9.0,Not available,By agreement,Partial Renovation,75000.0,USD,2022-12-15,1,40.1872023,44.515209
Panels,0.0,0.0,16.0,81.0,3.0,2.0,2.8,2.0,Open balcony,Available,Cosmetic Renovation,70000.0,USD,2022-12-15,1,40.1872023,44.515209
Stone,0.0,0.0,5.0,99.0,3.0,1.0,2.8,1.0,Not available,Available,Major Renovation,145000.0,USD,2022-12-15,1,40.1792461,44.5095374
Panels,0.0,1.0,16.0,85.0,3.0,2.0,2.75,15.0,Open balcony,Available,Old Renovation,61000.0,USD,2022-12-15,1,40.1872023,44.515209
