cell_id,area_km2,cx,cy,pop_sum,pop_density_per_km2,biz_count,biz_density_per_km2,rent_listings,implied_rent_per_m2_month,dist_to_g_m,dist_to_nearest_herit_m,herit_cnt_500m,herit_density_500m,R_implied,rent_missing,log_rent,M_obs,y_business
17,0.006514037285079317,446124.9893089319,4444133.884626775,2.8148086071014404,432.1142916312255,0,0.0,0,,12847.17053325727,2893.470419272732,0,0.0,6.588235294117648,1,2.0265990603054562,0.0,0
18,0.060922563032255454,445978.8263828346,4444288.1883272845,11.043721199035645,181.27473056556315,0,0.0,0,,12948.067531431658,2998.921623526835,0,0.0,6.588235294117648,1,2.0265990603054562,0.0,0
57,0.039380260703023626,446415.9820157641,4444132.466882205,19.86577606201172,504.4602475291998,0,0.0,0,,12567.421896876127,2614.658309303731,0,0.0,6.588235294117648,1,2.0265990603054562,0.0,0
58,0.13002259861235507,446416.60831586015,4444301.871615802,76.68498992919922,589.7820128778169,0,0.0,0,,12521.511532935772,2568.9144256347495,0,0.0,6.588235294117648,1,2.0265990603054562,0.0,0
97,0.04090775353626563,446922.5029422041,4444130.772315577,21.588802337646484,527.7435320056755,0,0.0,0,,12081.520310826158,2136.8213577153715,0,0.0,6.588235294117648,1,2.0265990603054562,0.0,0
98,0.13142915432481095,446916.60349202907,4444303.278157944,84.1358642578125,640.1613454034793,0,0.0,0,,12039.196462552627,2085.9540015626358,0,0.0,6.588235294117648,1,2.0265990603054562,0.0,0
137,0.04777316010580398,447415.1356808539,4444124.072194477,26.77391242980957,560.4383794271293,0,0.0,0,,11612.131671204046,1690.5442831915243,0,0.0,6.588235294117648,1,2.0265990603054562,0.0,0
138,0.18816519393756606,447442.8828528693,4444367.268300284,130.0985107421875,691.4058228290334,0,0.0,0,,11515.600370406808,1566.3760608719176,0,0.0,6.588235294117648,1,2.0265990603054562,0.0,0
177,0.04647530510016616,447914.446348879,4444125.355320739,28.953414916992188,622.9849347861231,0,0.0,0,,11135.931340672076,1268.6213189919688,0,0.0,6.588235294117648,1,2.0265990603054562,0.0,0
178,0.22305106639723937,447916.1503232183,4444394.898816168,153.7218475341797,689.1778193089251,0,0.0,0,,11053.841434915536,1121.0942763464554,0,0.0,6.588235294117648,1,2.0265990603054562,0.0,0
217,0.041017318724419986,448416.4506184099,4444130.829811454,30.441146850585938,742.1535048428839,1,24.379945620498155,0,,10657.942748985884,922.102264571398,0,0.0,6.588235294117648,1,2.0265990603054562,24.379945620498155,1
218,0.24227731136917277,448421.8101761979,4444414.677594369,156.7951202392578,647.1721159243817,0,0.0,0,,10564.591391835897,696.0389387421742,0,0.0,6.588235294117648,1,2.0265990603054562,0.0,0
219,0.08763693005963594,448546.82103223994,4444837.595467981,41.57489776611328,474.39929419962607,0,0.0,0,,10325.392133801448,372.88801517167076,1,1.2732395447351628,6.588235294117648,1,2.0265990603054562,0.0,0
233,0.023906760592830884,448600.2167082785,4452084.251604472,0.8635925054550171,36.1233594196777,0,0.0,0,,10882.759560073038,4543.662371844991,0,0.0,6.588235294117648,1,2.0265990603054562,0.0,0
234,0.025617953031245644,448624.98324976885,4452310.110572187,0.8450848460197449,32.98799263895182,0,0.0,0,,10955.990786906294,4510.207656691057,0,0.0,6.588235294117648,1,2.0265990603054562,0.0,0
257,0.04196596194763616,448917.2521291006,4444129.879361025,103.29874420166016,2461.4887734624826,2,47.65767081654267,0,,10185.570531294592,777.9234279465127,0,0.0,6.588235294117648,1,2.0265990603054562,47.65767081654267,1
258,0.25,448916.1575750762,4444421.847749205,648.729248046875,2594.9169921875,0,0.0,0,,10091.680072055527,485.95363425555274,1,1.2732395447351628,6.588235294117648,1,2.0265990603054562,0.0,0
259,0.21631031298871842,448912.50314810354,4444891.451122062,368.72882080078125,1704.6289458238275,22,101.70573790971955,0,,9958.605742575064,16.349167416799034,1,1.2732395447351628,6.588235294117648,1,2.0265990603054562,101.70573790971955,1
260,0.012448576154230463,448975.47755349235,4445227.9644841915,0.0,0.0,0,0.0,0,,9812.179739941073,326.20387561969915,1,1.2732395447351628,6.588235294117648,1,2.0265990603054562,0.0,0
272,0.0009006698498451596,449154.54731992807,4451654.608777885,0.0,0.0,0,0.0,0,,10201.457845507755,4044.3274137675926,0,0.0,6.588235294117648,1,2.0265990603054562,0.0,0
