cell_id,district,price_2022_amd_m2,rent_implied_amd_m2_month
394,Ajapnyak,37.0,0.18499999999999997
395,Ajapnyak,37.0,0.18499999999999997
396,,,
397,,,
398,,,
399,,,
400,,,
401,,,
402,,,
403,,,
404,,,
405,,,
406,,,
407,,,
408,,,
409,,,
410,,,
411,,,
412,,,
413,,,
414,,,
415,,,
416,,,
417,,,
418,,,
419,,,
420,,,
421,,,
422,,,
423,Malatia-Sebastia,205.0,1.025
424,Malatia-Sebastia,205.0,1.025
425,Malatia-Sebastia,205.0,1.025
426,Malatia-Sebastia,205.0,1.025
427,Malatia-Sebastia,205.0,1.025
428,Ajapnyak,37.0,0.18499999999999997
429,Ajapnyak,37.0,0.18499999999999997
430,Ajapnyak,37.0,0.18499999999999997
431,Ajapnyak,37.0,0.18499999999999997
432,Ajapnyak,37.0,0.18499999999999997
433,Ajapnyak,37.0,0.18499999999999997
434,Ajapnyak,37.0,0.18499999999999997
435,Ajapnyak,37.0,0.18499999999999997
436,,,
437,,,
438,,,
439,,,
440,,,
441,,,
442,,,
443,,,
444,,,
445,,,
446,,,
447,,,
448,,,
449,,,
450,,,
451,Shengavit,815.0,4.075
452,,,
453,,,
454,Shengavit,815.0,4.075
455,,,
456,,,
457,,,
458,,,
459,,,
460,,,
461,,,
462,,,
463,Malatia-Sebastia,205.0,1.025
464,Malatia-Sebastia,205.0,1.025
465,Malatia-Sebastia,205.0,1.025
466,Malatia-Sebastia,205.0,1.025
467,Malatia-Sebastia,205.0,1.025
468,Ajapnyak,37.0,0.18499999999999997
469,Ajapnyak,37.0,0.18499999999999997
470,Ajapnyak,37.0,0.18499999999999997
471,Ajapnyak,37.0,0.18499999999999997
472,Ajapnyak,37.0,0.18499999999999997
473,Ajapnyak,37.0,0.18499999999999997
474,Ajapnyak,37.0,0.18499999999999997
475,Ajapnyak,37.0,0.18499999999999997
476,,,
477,,,
478,,,
479,,,
480,,,
481,,,
482,,,
483,,,
484,,,
485,,,
486,,,
487,,,
488,,,
489,,,
490,,,
491,,,
492,Shengavit,815.0,4.075
493,Shengavit,815.0,4.075
494,Shengavit,815.0,4.075
495,Shengavit,815.0,4.075
496,Shengavit,815.0,4.075
497,Shengavit,815.0,4.075
498,,,
499,,,
500,,,
501,Malatia-Sebastia,205.0,1.025
502,Malatia-Sebastia,205.0,1.025
503,Malatia-Sebastia,205.0,1.025
504,Malatia-Sebastia,205.0,1.025
505,Malatia-Sebastia,205.0,1.025
506,Malatia-Sebastia,205.0,1.025
507,Ajapnyak,37.0,0.18499999999999997
508,Ajapnyak,37.0,0.18499999999999997
509,Ajapnyak,37.0,0.18499999999999997
510,Ajapnyak,37.0,0.18499999999999997
511,Ajapnyak,37.0,0.18499999999999997
512,Ajapnyak,37.0,0.18499999999999997
513,Ajapnyak,37.0,0.18499999999999997
514,Ajapnyak,37.0,0.18499999999999997
515,Ajapnyak,37.0,0.18499999999999997
516,,,
517,,,
518,,,
519,,,
520,,,
521,,,
522,,,
523,,,
524,,,
525,,,
526,,,
527,,,
528,,,
529,,,
530,Shengavit,815.0,4.075
531,Shengavit,815.0,4.075
532,Shengavit,815.0,4.075
533,Shengavit,815.0,4.075
534,Shengavit,815.0,4.075
535,Shengavit,815.0,4.075
536,Shengavit,815.0,4.075
537,Shengavit,815.0,4.075
538,Shengavit,815.0,4.075
539,,,
540,,,
541,Malatia-Sebastia,205.0,1.025
542,Malatia-Sebastia,205.0,1.025
543,Malatia-Sebastia,205.0,1.025
544,Malatia-Sebastia,205.0,1.025
545,Malatia-Sebastia,205.0,1.025
546,Malatia-Sebastia,205.0,1.025
547,Ajapnyak,37.0,0.18499999999999997
548,Ajapnyak,37.0,0.18499999999999997
549,Ajapnyak,37.0,0.18499999999999997
550,Ajapnyak,37.0,0.18499999999999997
551,Ajapnyak,37.0,0.18499999999999997
552,Ajapnyak,37.0,0.18499999999999997
553,Ajapnyak,37.0,0.18499999999999997
554,Ajapnyak,37.0,0.18499999999999997
555,Ajapnyak,37.0,0.18499999999999997
556,Ajapnyak,37.0,0.18499999999999997
557,,,
558,,,
559,,,
560,,,
561,,,
562,,,
563,,,
564,,,
565,,,
566,,,
567,,,
568,,,
569,,,
570,Shengavit,815.0,4.075
571,Shengavit,815.0,4.075
572,Shengavit,815.0,4.075
573,Shengavit,815.0,4.075
574,Shengavit,815.0,4.075
