city,historic_lon,historic_lat,business_lon,business_lat,dist_hist_to_bus_m,business_area_km2,business_points_total,business_points_cluster,cluster_method,business_center_method,polygon_file,utm_crs,core_radius_km,include_shops,dbscan_eps_m,dbscan_min_samples,poly_point_buffer_m,poly_simplify_m
"Kuala Lumpur, Malaysia",101.693931,3.1476067,101.69855696415543,3.151211957038084,651.0929580933805,33.67366880417638,12656,6791,dbscan_eps450.0_min25_label1,polygon_centroid,data/city_centers\business_area_polygons_geojson\kuala_lumpur_malaysia.geojson,EPSG:32647,12.0,True,450.0,25,180.0,60.0
Singapore,103.8526448,1.2930272,103.86634966469879,1.3096912719687444,2391.5054316491237,33.44920675655263,11628,6478,dbscan_eps450.0_min25_label5,polygon_centroid,data/city_centers\business_area_polygons_geojson\singapore.geojson,EPSG:32648,12.0,True,450.0,25,180.0,60.0
"Jakarta, Indonesia",106.8271692,-6.1754024,106.82180401168927,-6.183504216902519,1074.9798835814074,69.60030264487492,9012,4386,dbscan_eps450.0_min25_label0,polygon_centroid,data/city_centers\business_area_polygons_geojson\jakarta_indonesia.geojson,EPSG:32748,12.0,True,450.0,25,180.0,60.0
"Manila, Philippines",120.9746537,14.5909588,120.98931285295251,14.597835193883464,1753.5473537364703,34.39814245980897,4605,4551,dbscan_eps450.0_min25_label0,polygon_centroid,data/city_centers\business_area_polygons_geojson\manila_philippines.geojson,EPSG:32651,12.0,True,450.0,25,180.0,60.0
"Phnom Penh, Cambodia",104.9301471,11.5637725,104.91358464604312,11.5586281809241,1893.3102256112984,23.502492887150044,3377,2439,dbscan_eps450.0_min25_label0,polygon_centroid,data/city_centers\business_area_polygons_geojson\phnom_penh_cambodia.geojson,EPSG:32648,12.0,True,450.0,25,180.0,60.0
"Vientiane, Laos",102.6364902,17.9766636,102.62113009375551,17.96573734625594,2027.9601343178601,13.491845985602254,1639,1067,dbscan_eps450.0_min25_label0,polygon_centroid,data/city_centers\business_area_polygons_geojson\vientiane_laos.geojson,EPSG:32648,12.0,True,450.0,25,180.0,60.0
"Yangon, Myanmar",96.1587667,16.7743702,96.1474275610492,16.80867125854074,3987.7834720246924,37.41761716832306,5177,2947,dbscan_eps450.0_min25_label0,polygon_centroid,data/city_centers\business_area_polygons_geojson\yangon_myanmar.geojson,EPSG:32646,12.0,True,450.0,25,180.0,60.0
Hong Kong,114.1501584,22.2838713,114.18405694153861,22.322476947956783,5524.116877253048,24.47666856766039,10301,4575,dbscan_eps450.0_min25_label0,polygon_centroid,data/city_centers\business_area_polygons_geojson\hong_kong.geojson,EPSG:32650,12.0,True,450.0,25,180.0,60.0
"Shanghai, China",121.487632,31.2353356,121.45233604289787,31.22218656255245,3664.7505291502716,34.338750280762504,6290,2398,dbscan_eps450.0_min25_label1,polygon_centroid,data/city_centers\business_area_polygons_geojson\shanghai_china.geojson,EPSG:32651,10.0,True,450.0,25,180.0,60.0
"Tokyo, Japan",139.7506859,35.6838467,139.73743908581088,35.68620788417328,1233.4433118054376,157.8067039315888,29299,26913,dbscan_eps450.0_min25_label0,polygon_centroid,data/city_centers\business_area_polygons_geojson\tokyo_japan.geojson,EPSG:32655,10.0,True,450.0,25,180.0,60.0
"Seoul, South Korea",126.9766818,37.579754,127.02510019837003,37.57429801009677,4319.602075843997,59.31092653622394,23233,7771,dbscan_eps450.0_min25_label0,polygon_centroid,data/city_centers\business_area_polygons_geojson\seoul_south_korea.geojson,EPSG:32652,12.0,True,450.0,25,180.0,60.0
"Taipei, Taiwan",121.5217812,25.0345759,121.54007705320122,25.034493172332738,1846.23651232853,52.08370547778548,14845,11258,dbscan_eps450.0_min25_label1,polygon_centroid,data/city_centers\business_area_polygons_geojson\taipei_taiwan.geojson,EPSG:32651,12.0,True,450.0,25,180.0,60.0
"Tashkent, Uzbekistan",69.2232027,41.2929031,69.26884940629384,41.303082380848494,3985.2149508919047,46.873917335207786,8822,3415,dbscan_eps450.0_min25_label0,polygon_centroid,data/city_centers\business_area_polygons_geojson\tashkent_uzbekistan.geojson,EPSG:32642,12.0,True,450.0,25,180.0,60.0
"Astana, Kazakhstan",71.4306682,51.1282205,71.44084500538251,51.16227359419871,3854.629429483019,19.237307149591018,2875,1404,dbscan_eps450.0_min25_label0,polygon_centroid,data/city_centers\business_area_polygons_geojson\astana_kazakhstan.geojson,EPSG:32642,12.0,True,450.0,25,180.0,60.0
"Canberra, Australia",,,,,,,0,0,error:TypeError,error:TypeError,,,12.0,True,450.0,25,180.0,60.0
"Sydney, Australia",151.2083216,-33.859992,151.20137169369644,-33.88921177118669,3304.0307131501922,26.896572437179014,9136,3861,dbscan_eps450.0_min25_label0,polygon_centroid,data/city_centers\business_area_polygons_geojson\sydney_australia.geojson,EPSG:32756,12.0,True,450.0,25,180.0,60.0
"Wellington, New Zealand",174.7803602,-41.2762651,174.7771903016916,-41.28986414168123,1533.5093945025603,6.527534146120862,1811,1255,dbscan_eps450.0_min25_label0,polygon_centroid,data/city_centers\business_area_polygons_geojson\wellington_new_zealand.geojson,EPSG:32760,12.0,True,450.0,25,180.0,60.0
"Auckland, New Zealand",174.7632385,-36.8529053,174.75803609182574,-36.862440168003204,1155.475256744154,17.604700633979828,6991,2964,dbscan_eps450.0_min25_label1,polygon_centroid,data/city_centers\business_area_polygons_geojson\auckland_new_zealand.geojson,EPSG:32760,12.0,True,450.0,25,180.0,60.0
"Washington, DC, USA",-77.0090208,38.889813,-77.02729579028828,38.910912955102994,2828.357855816131,26.573890445783064,3993,2887,dbscan_eps450.0_min25_label1,polygon_centroid,data/city_centers\business_area_polygons_geojson\washington_dc_usa.geojson,EPSG:32618,12.0,True,450.0,25,180.0,60.0
"New York City, NY, USA",-74.010253,40.7073223,-73.95502073088578,40.693254069541155,4920.927857525638,76.97186693957245,18282,9981,dbscan_eps450.0_min25_label1,polygon_centroid,data/city_centers\business_area_polygons_geojson\new_york_city_ny_usa.geojson,EPSG:32618,10.0,True,450.0,25,180.0,60.0
"Chicago, IL, USA",-87.6282334,41.8830439,-87.6623648222696,41.902635252979486,3570.600029699043,68.04698621960715,8146,5729,dbscan_eps450.0_min25_label0,polygon_centroid,data/city_centers\business_area_polygons_geojson\chicago_il_usa.geojson,EPSG:32616,12.0,True,450.0,25,180.0,60.0
"Los Angeles, CA, USA",-118.4659127,34.1943707,-118.2875347728143,34.059357280081535,22245.300903124866,63.824348807878586,8483,5456,dbscan_eps450.0_min25_label1,polygon_centroid,data/city_centers\business_area_polygons_geojson\los_angeles_ca_usa.geojson,EPSG:32611,10.0,True,450.0,25,180.0,60.0
"San Francisco, CA, USA",-122.4054267,37.7948307,-122.42751964148783,37.77768150448245,2721.1934620429533,35.04330711620811,5910,5041,dbscan_eps450.0_min25_label0,polygon_centroid,data/city_centers\business_area_polygons_geojson\san_francisco_ca_usa.geojson,EPSG:32610,12.0,True,450.0,25,180.0,60.0
"Ottawa, Canada",-75.7030627,45.422839,-75.67165988263392,45.41245422505535,2714.4577999190665,33.615052919183604,9747,5767,dbscan_eps450.0_min25_label0,polygon_centroid,data/city_centers\business_area_polygons_geojson\ottawa_canada.geojson,EPSG:32618,12.0,True,450.0,25,180.0,60.0
"Toronto, Canada",-79.3821434,43.6526536,-79.41785629560394,43.66827499893907,3362.4831943942213,56.95739053767657,14748,10109,dbscan_eps450.0_min25_label0,polygon_centroid,data/city_centers\business_area_polygons_geojson\toronto_canada.geojson,EPSG:32617,12.0,True,450.0,25,180.0,60.0
"Montreal, Canada",-73.5559901,45.5044365,-73.59001833054214,45.53192827395149,4049.2851898210974,47.87437071059048,9947,5852,dbscan_eps450.0_min25_label2,polygon_centroid,data/city_centers\business_area_polygons_geojson\montreal_canada.geojson,EPSG:32618,12.0,True,450.0,25,180.0,60.0
"Mexico City, Mexico",-99.1331984,19.4326468,-99.16757344859026,19.385332450403702,6358.88919408484,23.563340156143376,5600,1325,dbscan_eps450.0_min25_label3,polygon_centroid,data/city_centers\business_area_polygons_geojson\mexico_city_mexico.geojson,EPSG:32614,10.0,True,450.0,25,180.0,60.0
"Havana, Cuba",-82.349565,23.1402086,-82.39479243996084,23.11101030324817,5648.580550171668,50.123001334437966,5423,3813,dbscan_eps450.0_min25_label0,polygon_centroid,data/city_centers\business_area_polygons_geojson\havana_cuba.geojson,EPSG:32617,12.0,True,450.0,25,180.0,60.0
"Guatemala City, Guatemala",-90.5132908,14.6418068,-90.52883411149863,14.61240881094575,3660.2427684246013,36.1056634393863,4865,3783,dbscan_eps450.0_min25_label0,polygon_centroid,data/city_centers\business_area_polygons_geojson\guatemala_city_guatemala.geojson,EPSG:32615,12.0,True,450.0,25,180.0,60.0
"Bogotá, Colombia",-74.0760044,4.598146,-74.08810820968722,4.65777857603916,6727.806461331472,140.13027121804723,24863,21762,dbscan_eps450.0_min25_label0,polygon_centroid,data/city_centers\business_area_polygons_geojson\bogot_colombia.geojson,EPSG:32618,12.0,True,450.0,25,180.0,60.0
